decisions,propagations,conflicts,user-propagations,final-checks,problem,length,steps,mutexes,propagator
732,8722,48,25,1,grounder_dcrm_qurm_pathways-02,26,7,25,exists-decide
250,6670,42,17,1,grounder_dcrm_qurm_pathways-03,29,8,33,forall-decide
79,4757,61,2,3,grounder_dcrm_qurm_grounded-strips-psr-s2-n1-l2-f50,9,8,3,forall-final
380,9842,46,9,10,grounder_dcrm_qurm_printjob,22,11,104,forall-final
16,1287,12,4,1,grounder_dcrm_qurm_pegsolitaire-sequential-002,5,5,846,exists-prop
6,779,6,2,1,grounder_dcrm_qurm_pegsolitaire-sequential-002,5,5,2,exists-decide
378,4617,35,3,1,grounder_dcrm_qurm_ztravel-2-4,10,4,9,exists-decide
188,2221,16,3,1,grounder_dcrm_qurm_pathways-01,9,5,8,exists-stepshare
1804,12531,56,962,1,grounder_dcrm_qurm_mprime-x-3,24,4,7137,forall-prop
35,70,1,0,1,grounder_dcrm_qurm_strips-movie-x-3,7,2,0,exists-stepshare
445,31653,228,0,1,grounder_dcrm_qurm_name,10,10,55,exists
2,6,0,0,1,grounder_dcrm_qurm_briefcase-o1,1,1,8,exists
36,1590,16,3,1,grounder_dcrm_qurm_printjob,15,9,12,forall-lazy
8,8,0,0,1,grounder_dcrm_qurm_briefcase-o2,1,1,0,exists-stepshare
11,594,9,1,1,grounder_dcrm_qurm_printjob,8,8,2,forall-decide
501,2483,43,17,1,grounder_dcrm_qurm_mprime-x-1,13,4,39,exists-stepshare
4303,25432,112,43,1,grounder_dcrm_qurm_mprime-x-3,20,4,91,forall-code
6115,617078,2707,696,1,grounder_dcrm_qurm_pfile02,7,7,9056,forall-prop
76,2365,18,0,1,grounder_dcrm_qurm_pathways-01,7,5,898,exists
1,5,0,2,1,grounder_dcrm_qurm_briefcase-o1,1,1,5,forall-prop
3,25,2,2,1,grounder_dcrm_qurm_tsp-2,2,2,9,forall-prop
818,125462,482,1378,1,grounder_dcrm_qurm_roverprob1234,11,9,7639,forall-prop
1,2,0,0,1,grounder_dcrm_qurm_tsp-1,1,1,0,exists-final
1697,181726,575,437,1,grounder_dcrm_qurm_grounded-truck-1,14,7,3494,exists-prop
1849,161226,563,68,1,grounder_dcrm_qurm_grounded-truck-1,15,7,172,exists-lazy
2348,198715,716,61,1,grounder_dcrm_qurm_grounded-truck-1,14,7,84,exists-stepshare
820,106223,406,22,1,grounder_dcrm_qurm_roverprob1234,11,9,238,exists-stepshare
6,732,10,1,1,grounder_dcrm_qurm_problem_x,8,8,1,forall-code
3319,14941,54,22,1,grounder_dcrm_qurm_mprime-x-3,24,3,30,exists-decide
7908,215005,1216,458,1,grounder_dcrm_qurm_prob1,21,7,842,forall-code
76,1928,16,0,1,grounder_dcrm_qurm_pathways-01,8,5,914,exists
965,6331,27,13,14,grounder_dcrm_qurm_pathways-01,8,5,77,exists-final
11849,2260334,5464,679,1,grounder_dcrm_qurm_grounded-truck-1,13,11,969,forall-decide
36352,4052281,26936,1001,1,grounder_dcrm_qurm_strips-gripper-x-2,17,11,1626,forall-decide
759,55859,350,338,1,grounder_dcrm_qurm_dlog-2-2-4,23,7,3238,forall-prop
30,65,1,0,1,grounder_dcrm_qurm_strips-movie-x-2,7,2,1,exists
521,43843,219,20,1,grounder_dcrm_qurm_roverprob4213,9,7,268,forall-lazy
6,732,10,1,1,grounder_dcrm_qurm_problem_x,8,8,1,forall-decide
8058,899972,3233,290,1,grounder_dcrm_qurm_name,23,23,407,exists-code
35,70,1,0,1,grounder_dcrm_qurm_strips-movie-x-3,7,2,0,exists-final
4819,71323,129,82,1,grounder_dcrm_qurm_mprime-x-2,21,4,100,exists-decide
36,1590,16,3,1,grounder_dcrm_qurm_printjob,15,9,6,exists-stepshare
1,2,0,0,1,grounder_dcrm_qurm_tsp-1,1,1,0,forall-prop
6505,1079784,4045,54,1,grounder_dcrm_qurm_pfile03,7,7,1016,forall-decide
11,2069,14,0,1,grounder_dcrm_qurm_problem_x,9,9,624,exists
162057,18609698,36321,2132,1,grounder_dcrm_qurm_grounded-truck-2,17,14,2962,forall-code
93,2039,14,3,4,grounder_dcrm_qurm_printjob,15,9,22,forall-final
698,5321,37,25,1,grounder_dcrm_qurm_pathways-01,8,5,25,exists-decide
3,25,2,2,1,grounder_dcrm_qurm_tsp-2,2,2,4,forall-decide
504,6232,53,4,1,grounder_dcrm_qurm_ztravel-2-4,12,4,35,exists-stepshare
2578,97739,373,31,32,grounder_dcrm_qurm_roverprob3726,16,8,102,forall-final
72,3594,22,0,1,grounder_dcrm_qurm_grounded-strips-psr-s5-n1-l3-f30,16,7,0,exists-stepshare
16,1287,12,4,1,grounder_dcrm_qurm_pegsolitaire-sequential-002,5,5,848,forall-prop
567,3518,28,290,1,grounder_dcrm_qurm_mprime-x-3,17,3,3040,exists-prop
10881,349248,2416,251,252,grounder_dcrm_qurm_network1new_all_6_4_instance,12,6,3892,exists-final
7311,476786,961,153,1,grounder_dcrm_qurm_strips-sat-x-1,15,7,536,forall-lazy
866,26080,168,0,1,grounder_dcrm_qurm_network1new_all_8_3_instance,9,6,5744,exists
18006,837912,2418,99,1,grounder_dcrm_qurm_pegsolitaire-sequential-011,9,9,194,exists-stepshare
10990,622573,1590,0,1,grounder_dcrm_qurm_pegsolitaire-sequential-011,9,9,7608,forall
4,27,2,1,2,grounder_dcrm_qurm_tsp-2,2,2,2,exists-final
30,169,9,9,10,grounder_dcrm_qurm_tsp-3,3,3,30,forall-final
409659,9063045,8236,1120,1121,grounder_dcrm_qurm_prob1,55,13,67689,exists-final
794,73846,371,20,1,grounder_dcrm_qurm_roverprob4213,9,7,106,exists-decide
30,65,1,0,1,grounder_dcrm_qurm_strips-movie-x-2,7,2,1,forall
6846,91325,351,107,1,grounder_dcrm_qurm_pathways-01,33,9,226,exists-lazy
2149,297986,913,48,1,grounder_dcrm_qurm_pegsolitaire-sequential-014,9,9,48,exists-decide
419,2352,43,18,1,grounder_dcrm_qurm_mprime-x-1,13,4,52,exists-lazy
1631951,472743352,761737,2325,1,grounder_dcrm_qurm_strips-sat-x-1,17,15,27586,forall-lazy
4774,141300,1232,247,1,grounder_dcrm_qurm_network1new_all_6_4_instance,12,6,249,exists-code
23,201,5,0,1,grounder_dcrm_qurm_briefcase-o3,2,2,96,exists
3,25,2,2,1,grounder_dcrm_qurm_tsp-2,2,2,7,exists-prop
32,3228,27,0,1,grounder_dcrm_qurm_grounded-strips-psr-s7-n1-l3-f70,13,7,0,exists-code
168,7685,32,0,1,grounder_dcrm_qurm_pathways-03,20,8,1318,exists
171,4443,26,5,1,grounder_dcrm_qurm_pathways-01,9,5,10,exists-lazy
13139,1397732,3424,1551,1,grounder_dcrm_qurm_grounded-truck-2,17,9,8884,exists-prop
158861,774427,1011,813,1,grounder_dcrm_qurm_original,10,5,1037,exists-decide
94,5135,69,4,5,grounder_dcrm_qurm_grounded-strips-psr-s2-n1-l2-f50,8,8,6,exists-final
917,38856,122,906,1,grounder_dcrm_qurm_strips-sat-x-1,15,6,4357,exists-prop
248,3940,47,21,1,grounder_dcrm_qurm_ztravel-1-2,9,6,48,exists-stepshare
254,13162,54,264,1,grounder_dcrm_qurm_pathways-03,18,8,1015,forall-prop
943993,81788916,419227,5742,1,grounder_dcrm_qurm_grounded-strips-os-sequencedstrips-small-4,25,15,31660,exists-prop
816,149544,526,28,1,grounder_dcrm_qurm_roverprob1234,11,9,314,forall-decide
